"The Beautiful Name / الاسم الحسن","Number / الرقم","Brief Meaning / المعنى المختصر","Ta'wil / التأويل","Quranic Reference / المرجع القرآني","Verse → Ayah / الآية","Dhikr Formula / صيغة الذكر","Pronunciation","Phonetics"
"Al-Khaliq (الخالق)","11","The Creator; The One who brings everything from non-existence to existence","📿 SHARĪ'A - Allah creates everything from nothing. He is the originator of all that exists, fashioning each creation with wisdom and purpose.

🚶 ṬARĪQA - Recognize His creativity in everything. Be creative in your worship and service. Recite ""Yā Khāliq"" when seeking creative solutions.

💎 ḤAQĪQA - Creation is continuous, not a past event. He creates you anew each moment. Every breath is a new creation from Al-Khaliq.

🌟 MA'RIFA - The mystic becomes a conscious participant in divine creation, their every act an extension of His creative power.","He is Allah, the Creator, the Inventor, the Fashioner (59:24); Is He who creates like one who does not create? (16:17)","Al-Hashr 59:24; An-Nahl 16:17","Basic: يا خالق (Yā Khāliq) For creativity: يا خالق ألهمني (Yā Khāliq alhimnī) Number: 731 times","al-KHAA-liq","'KHAA' with guttural 'kh', 'liq' as in 'league'"
"Al-Bari (البارئ)","12","The Evolver; The Maker; The One who creates with perfect proportion","📿 SHARĪ'A - Allah shapes and fashions creation with perfect proportion. He evolves things from their initial state to completion.

🚶 ṬARĪQA - Trust His fashioning of your life. Each difficulty shapes you perfectly. Recite ""Yā Bāri'"" to accept divine molding.

💎 ḤAQĪQA - You are being constantly evolved by Al-Bari. Every experience is His hand shaping you into what you're meant to become.

🌟 MA'RIFA - The realized soul sees themselves as clay in the Potter's hands, surrendering joyfully to being shaped by Al-Bari.","He is Allah, the Creator, the Inventor, the Fashioner (59:24); We created man from sounding clay (15:26)","Al-Hashr 59:24; Al-Hijr 15:26","Basic: يا بارئ (Yā Bāri') For growth: يا بارئ برئني (Yā Bāri' barri'nī) Practice: 213 times","al-BAA-ri'","'BAA' with long 'a', 'ri' with slight pause after"
"Al-Musawwir (المصور)","13","The Fashioner; The Shaper of Beauty; The One who forms His creatures","📿 SHARĪ'A - Allah gives each creation its unique form and appearance. He is the supreme artist who fashions all forms in the universe.

🚶 ṬARĪQA - See His artistry everywhere. Appreciate beauty as His signature. Recite ""Yā Muṣawwir"" to perceive divine beauty in all forms.

💎 ḤAQĪQA - Every form is a divine word spoken into existence. Behind the multiplicity of forms is the One Former, Al-Musawwir.

🌟 MA'RIFA - The mystic sees through forms to the Former, recognizing all beauty as rays from the Beautiful One who shaped it.","He is Allah, the Creator, the Inventor, the Fashioner (59:24); He forms you in the wombs as He wills (3:6)","Al-Hashr 59:24; Aal-Imran 3:6","Basic: يا مصور (Yā Muṣawwir) For beauty: 336 times at dawn Artistic work: Before creating","al-mu-SAW-wir","'mu' as 'moon', 'SAW' as 'saw', 'wir' as 'weer'"
"Al-Ghaffar (الغفار)","14","The Ever-Forgiving; The One who forgives repeatedly","📿 SHARĪ'A - Allah forgives sins continuously for those who repent. His forgiveness is vast and encompasses all sins except associating partners with Him.

🚶 ṬARĪQA - Seek forgiveness constantly. Never despair of His mercy. Recite ""Yā Ghaffār"" abundantly, especially after sins.

💎 ḤAQĪQA - His forgiveness precedes your sin. He created repentance before creating sin. In Al-Ghaffar, mistakes become doorways to divine intimacy.

🌟 MA'RIFA - The lover discovers that sins were veils hiding the treasure of experiencing His forgiveness. Each return brings deeper intimacy.","I said, 'Ask forgiveness of your Lord. Indeed, He is ever a Perpetual Forgiver' (71:10); But indeed, I am the Perpetual Forgiver (20:82)","Nuh 71:10; Ta-Ha 20:82","Basic: يا غفار (Yā Ghaffār)

Full: أستغفر الله الغفار

Number: 1,254 times daily","al-ghaf-FAAR","'ghaf' with guttural 'gh', 'FAAR' with long 'a'"
"Al-Qahhar (القهار)","15","The Subduer; The Dominant; The One who has perfect power over all things","📿 SHARĪ'A - Allah subdues all creation to His will. Nothing can resist His power. He dominates all forces and overcomes all opposition.

🚶 ṬARĪQA - Submit before being subdued. Let Him conquer your ego. Recite ""Yā Qahhār"" to overcome negative traits and enemies.

💎 ḤAQĪQA - His subduing is liberation. By overpowering your lower self, He frees your higher nature. Defeat by Al-Qahhar is true victory.

🌟 MA'RIFA - The mystic finds ecstasy in being overpowered by divine love. Complete defeat becomes complete victory in Al-Qahhar.","The day they emerge, nothing about them will be hidden from Allah. To whom belongs dominion today? To Allah, the One, the Subduer (40:16)","Ghafir 40:16; Ar-Ra'd 13:16","Basic: يا قهار (Yā Qahhār) For victory: يا قهار اقهر عدوي Protection: 306 times","al-qah-HAAR","'qah' with deep 'q', 'HAAR' with long 'a'"
"Al-Wahhab (الوهاب)","16","The Bestower; The Giver of All; The One who gives without asking for return","📿 SHARĪ'A - Allah gives freely and abundantly without expecting return. His gifts are countless and continuous. He is the source of all bounties.

🚶 ṬARĪQA - Become generous like your Lord. Give without counting. Recite ""Yā Wahhāb"" when seeking divine gifts or wanting to become generous.

💎 ḤAQĪQA - Everything is His gift - challenges and comforts alike. The wise recognize difficulties as gifts wrapped in dark paper.

🌟 MA'RIFA - The saint becomes a channel of Al-Wahhab, giving from inexhaustible divine treasures, enriching others while never becoming poor.","Our Lord, do not let our hearts deviate after You have guided us and grant us mercy from You. Indeed, You are the Bestower (3:8)","Aal-Imran 3:8; Sad 38:9","Basic: يا وهاب (Yā Wahhāb)

Request: رب هب لي (Rabbi hab lī)

Abundance: 14 times after Duha","al-wah-HAAB","'wah' as 'wa', 'HAAB' with long 'a'"
"Ar-Razzaq (الرزاق)","17","The Sustainer; The Provider; The One who provides everything needed","📿 SHARĪ'A - Allah provides sustenance to all creation. He determines provisions before birth and ensures they reach each creature.

🚶 ṬARĪQA - Trust in divine provision. Work but know He is the true Provider. Recite ""Yā Razzāq"" for sustenance and to overcome scarcity mindset.

💎 ḤAQĪQA - Provision isn't just material but spiritual. He provides exactly what each soul needs for its journey to Him.

🌟 MA'RIFA - The mystic sees that the greatest provision is His presence. With Ar-Razzaq, one needs nothing else.","Indeed, it is Allah who is the Provider, the Possessor of Power, the Firm (51:58); And there is no creature on earth but that upon Allah is its provision (11:6)","Adh-Dhariyat 51:58; Hud 11:6","Basic: يا رزاق (Yā Razzāq)

Morning: يا رزاق ارزقني

Number: 308 times before Fajr","ar-raz-ZAAQ","'raz' as 'ruz', 'ZAAQ' with long 'a'"
"Al-Fattah (الفتاح)","18","The Opener; The One who opens closed hearts and doors","📿 SHARĪ'A - Allah opens all that is closed - doors of provision, hearts to faith, solutions to problems. He is the ultimate problem-solver.

🚶 ṬARĪQA - When stuck, turn to Al-Fattah. He opens ways where there seem none. Recite ""Yā Fattāḥ"" when facing closed doors.

💎 ḤAQĪQA - The greatest opening is the heart's door to divine presence. All other openings are secondary to this primary opening.

🌟 MA'RIFA - The realized soul becomes a key in His hand, opening hearts and doors for others through His power.","Our Lord, judge between us and our people in truth, and You are the best of judges [literally: openers] (7:89); When comes Allah's victory and the opening (110:1)","Al-A'raf 7:89; An-Nasr 110:1","Basic: يا فتاح (Yā Fattāḥ) For opening: يا فتاح افتح لي Practice: 489 times after Fajr","al-fat-TAAH","'fat' as in 'but', 'TAAH' with long 'a'"
"Al-Alim (العليم)","19","The All-Knowing; The Omniscient; The One whose knowledge encompasses everything","📿 SHARĪ'A - Allah's knowledge is perfect and complete. He knows the past, present, future, hidden and manifest. Nothing escapes His knowledge.

🚶 ṬARĪQA - Live knowing He knows. Hide nothing, for nothing is hidden from Him. Recite ""Yā 'Alīm"" to increase your own knowledge.

💎 ḤAQĪQA - His knowledge isn't acquired but essential. He doesn't learn; He IS knowledge itself. All knowing comes from the All-Knowing.

🌟 MA'RIFA - The mystic realizes their knowledge is a drop from His ocean. In acknowledging ignorance, they access infinite knowledge.","He is Allah, other than whom there is no deity, Knower of the unseen and seen (59:22); And Allah is Knowing of all things (2:282)","Al-Hashr 59:22; Al-Baqarah 2:282","Basic: يا عليم (Yā 'Alīm)

Study: يا عليم علمني

Number: 150 times","al-'a-LEEM","'a' is guttural, 'LEEM' rhymes with 'team'"
"Al-Qabid (القابض)","20","The Constrictor; The One who constricts provisions and hearts","📿 SHARĪ'A - Allah constricts and expands as He wills. He may restrict provisions or opportunities as a test or redirection.

🚶 ṬARĪQA - Accept constriction as divine wisdom. Sometimes He closes doors to open better ones. Recite ""Yā Qābiḍ"" to understand divine restrictions.

💎 ḤAQĪQA - Constriction precedes expansion like inhalation before exhalation. His withholding is preparation for greater giving.

🌟 MA'RIFA - The mystic finds expansion in constriction, discovering that when He closes all doors, He becomes the door.","Allah constricts and expands [provisions], and to Him you will be returned (2:245); On the Day when We will fold the heaven like the folding of a written sheet (21:104)","Al-Baqarah 2:245; Al-Anbiya 21:104","Basic: يا قابض (Yā Qābiḍ)

Paired: يا قابض يا باسط

Understanding: 903 times","al-QAA-bid","'QAA' with deep 'q' and long 'a', 'bid' as in 'bid'"
"Al-Basit (الباسط)","21","The Expander; The One who expands provisions and hearts","📿 SHARĪ'A - Allah expands provisions, hearts, and opportunities. After constriction comes expansion. He enriches whom He wills.

🚶 ṬARĪQA - Be expansive in spirit. Share abundantly. Recite ""Yā Bāsiṭ"" for expansion in provision, knowledge, and spiritual states.

💎 ḤAQĪQA - True expansion is the heart's expansion to contain divine love. Material expansion without spiritual expansion is another form of constriction.

🌟 MA'RIFA - The saint's heart becomes so expanded it embraces all creation, seeing everything through the expansive mercy of Al-Basit.","Allah constricts and expands [provisions] (2:245); And your Lord will give you, and you will be satisfied (93:5)","Al-Baqarah 2:245; Ad-Duha 93:5","Basic: يا باسط (Yā Bāsiṭ) For expansion: 72 times at dawn Paired with Al-Qabid","al-BAA-sit","'BAA' with long 'a', 'sit' as in 'sit'"
"Al-Khafid (الخافض)","22","The Abaser; The One who lowers and humbles","📿 SHARĪ'A - Allah humbles the proud and lowers the arrogant. He brings down tyrants and those who oppress. None can resist His abasement.

🚶 ṬARĪQA - Lower yourself before being lowered. Choose humility. Recite ""Yā Khāfiḍ"" to cure pride and to seek protection from humiliation.

💎 ḤAQĪQA - Being lowered by Al-Khafid is elevation. He lowers the ego to raise the spirit. Spiritual ascent requires descent first.

🌟 MA'RIFA - The mystic seeks the lowest place and finds it the highest. In the valley of humility, they discover the peak of honor.","It is He who has made the earth for you lowered [i.e., spread flat] (67:15); And whoever Allah lowers - for him there is no one to give honor (22:18)","Al-Mulk 67:15; Al-Hajj 22:18","Basic: يا خافض (Yā Khāfiḍ) For humility: 70 times Protection from abasement","al-KHAA-fid","'KHAA' with guttural 'kh', 'fid' as 'feed'"
"Ar-Rafi (الرافع)","23","The Exalter; The One who raises His servants in rank","📿 SHARĪ'A - Allah raises whom He wills in rank, status, and spiritual station. He elevates the humble and those who seek knowledge.

🚶 ṬARĪQA - Seek elevation through humility and service. True rising comes through prostration. Recite ""Yā Rāfi'"" for spiritual elevation.

💎 ḤAQĪQA - He raises by degrees - first knowledge, then action, then state, then station. Each elevation requires leaving the previous level.

🌟 MA'RIFA - The mystic is raised so high they disappear in divine altitude, finding that the highest station is having no station.","Allah will raise those who believe among you and those who were given knowledge by degrees (58:11); And We raise in degrees whom We will (6:83)","Al-Mujadila 58:11; Al-An'am 6:83","Basic: يا رافع (Yā Rāfi') For elevation: 351 times Paired with Al-Khafid","ar-RAA-fi'","'RAA' with rolled 'r', 'fi' with pause"
"Al-Mu'izz (المعز)","24","The Bestower of Honor; The One who gives honor and dignity","📿 SHARĪ'A - Allah bestows true honor that cannot be taken away. He honors whom He wills with faith, knowledge, and high status.

🚶 ṬARĪQA - Seek honor only through Him. Worldly honor without divine honor is disgrace. Recite ""Yā Mu'izz"" for lasting dignity.

💎 ḤAQĪQA - Real honor is being honored by Al-Mu'izz. His recognition is worth more than recognition by all creation combined.

🌟 MA'RIFA - The saint finds honor in being His servant. The highest title becomes 'Abdullah' - the slave of Allah.","Say, 'O Allah, Owner of Sovereignty, You give sovereignty to whom You will and You take sovereignty away from whom You will. You honor whom You will' (3:26)","Aal-Imran 3:26","Basic: يا معز (Yā Mu'izz) Full form: يا معز أعزني بطاعتك Practice: 140 times","al-mu-'IZZ","'mu' as 'moon', 'IZZ' as 'is' with emphasis"
"Al-Mudhill (المذل)","25","The Giver of Dishonor; The One who humiliates the oppressors","📿 SHARĪ'A - Allah humiliates those who deserve it - the arrogant, oppressors, and those who fight against truth. His humiliation is justice.

🚶 ṬARĪQA - Fear His humiliation more than people's. Avoid what brings divine disgrace. Recite ""Yā Mudhill"" for protection from humiliation.

💎 ḤAQĪQA - Sometimes He humiliates the ego to liberate the soul. What seems like disgrace may be disguised grace.

🌟 MA'RIFA - The mystic accepts humiliation as purification, knowing that being stripped of false honor reveals true dignity.","You honor whom You will and You humble whom You will (3:26); And whoever Allah humiliates - for him there is no one to give honor (22:18)","Aal-Imran 3:26; Al-Hajj 22:18","Basic: يا مذل (Yā Mudhill)

Protection: 75 times Against oppressors","al-mu-DHIL","'mu' as 'moon', 'DHIL' with soft 'dh'"
"As-Sami (السميع)","26","The All-Hearing; The One who hears all sounds and voices","📿 SHARĪ'A - Allah hears everything - the whisper and the cry, the spoken and unspoken. No sound escapes His hearing, no prayer goes unheard.

🚶 ṬARĪQA - Speak knowing He hears. Guard your tongue. Let your words be dhikr. Recite ""Yā Samī'"" believing He hears your call.

💎 ḤAQĪQA - He hears the language of states, not just words. Your heart's whisper is louder to Him than your tongue's shout.

🌟 MA'RIFA - The mystic's silence becomes eloquent speech to As-Sami. They communicate through states beyond words.","Indeed, Allah is Hearing and Seeing (58:1); There is nothing like Him, and He is the Hearing, the Seeing (42:11)","Al-Mujadila 58:1; Ash-Shuraa 42:11","Basic: يا سميع (Yā Samī') For prayers: 100 times Thursday When seeking to be heard","as-sa-MEE'","'sa' as 'sum', 'MEE' with pause"
"Al-Basir (البصير)","27","The All-Seeing; The One who sees everything","📿 SHARĪ'A - Allah sees all things - the apparent and hidden, in darkness and light. His vision encompasses all of creation simultaneously.

🚶 ṬARĪQA - Live under His gaze. Let His seeing purify your actions. Recite ""Yā Baṣīr"" to develop spiritual insight.

💎 ḤAQĪQA - He sees not just actions but intentions, not just forms but realities. His seeing is creative - what He sees, becomes.

🌟 MA'RIFA - The saint sees through His eyes, gaining the vision that penetrates veils and perceives divine beauty everywhere.","He is the One who hears and sees (40:20); And Allah is Seeing of what you do (49:18)","Ghafir 40:20; Al-Hujurat 49:18","Basic: يا بصير (Yā Baṣīr) For insight: 302 times Paired with As-Sami","al-ba-SEER","'ba' as 'bah', 'SEER' rhymes with 'career'"
"Al-Hakam (الحكم)","28","The Judge; The Arbitrator; The One who judges between His creatures","📿 SHARĪ'A - Allah is the ultimate judge whose judgment is perfect. He will judge between all creatures on the Day of Judgment with absolute justice.

🚶 ṬARĪQA - Submit your disputes to divine arbitration. Accept His judgments in life. Recite ""Yā Ḥakam"" when seeking justice.

💎 ḤAQĪQA - His judgments manifest through life's events. What happens is His ongoing verdict. Acceptance brings peace.

🌟 MA'RIFA - The mystic stops judging, knowing only Al-Hakam can truly judge. They see His wisdom in every decree.","Is not Allah the wisest of judges? (95:8); And He is the best of judges (7:87)","At-Tin 95:8; Al-A'raf 7:87","Basic: يا حكم (Yā Ḥakam) For justice: 68 times In disputes: Friday night","al-HA-kam","'HA' emphatic, 'kam' as in 'come'"
"Al-Adl (العدل)","29","The Just; The One who is perfect in justice","📿 SHARĪ'A - Allah's justice is perfect and absolute. He wrongs no one, not even by an atom's weight. His scales of justice never err.

🚶 ṬARĪQA - Be just in all dealings. Balance rights and responsibilities. Recite ""Yā 'Adl"" to embody divine justice in your life.

💎 ḤAQĪQA - His justice includes apparent injustice. Time reveals the perfect justice in what seemed unjust. Trust His larger plan.

🌟 MA'RIFA - The realized soul sees perfect justice in existence itself. Every atom is in its right place by Al-Adl's decree.","Indeed, Allah commands justice (16:90); And your Lord does not do injustice to anyone (18:49)","An-Nahl 16:90; Al-Kahf 18:49","Basic: يا عدل (Yā 'Adl) For fairness: 104 times When wronged: After Asr","al-'ADL","guttural 'a', 'DL' as 'dul'"
"Al-Latif (اللطيف)","30","The Most Subtle; The Most Gentle; The One who is kind to His servants","📿 SHARĪ'A - Allah's kindness is subtle and often hidden. He helps in ways too gentle to perceive. His planning is intricate beyond comprehension.x

🚶 ṬARĪQA - Be gentle with creation. Look for His subtle kindnesses. Recite ""Yā Laṭīf"" in difficulties, trusting His hidden gentle hand.

💎 ḤAQĪQA - His subtlety works through apparent harshness. The bitter medicine hides the gentle healing of Al-Latif.

🌟 MA'RIFA - The mystic perceives His subtle touches everywhere - in the breeze, in coincidences, in the space between heartbeats.","Does He who created not know, while He is the Subtle, the Aware? (67:14); Allah is Subtle with His servants (42:19)","Al-Mulk 67:14; Ash-Shuraa 42:19","Basic: يا لطيف (Yā Laṭīf)

Famous: يا لطيف الطف بنا

Times: 133 morning/evening","al-la-TEEF","'la' as 'la', 'TEEF' rhymes with 'reef'"
"Al-Halim (الحليم)","32","The Forbearing; The Clement; The One who delays punishment despite having power","📿 SHARĪ'A - Allah is patient with sinners, delaying punishment to allow repentance. His forbearance gives wrongdoers time to return to Him.

🚶 ṬARĪQA - Develop patience and forbearance. Don't rush to anger or revenge. Recite ""Yā Ḥalīm"" to cultivate divine patience in difficulties.

💎 ḤAQĪQA - His forbearance is not weakness but ultimate strength. He waits because He knows the end. Time is His creation.

🌟 MA'RIFA - The mystic embodies divine forbearance, becoming unshakeable in patience, seeing others through Al-Halim's compassionate eyes.","And know that Allah is Forgiving and Forbearing (2:235); Indeed, Abraham was forbearing, grieving, and frequently returning (11:75)","Al-Baqarah 2:235; Hud 11:75","Basic: يا حليم (Yā Ḥalīm) For patience: 88 times daily When angry: 7 times","al-ha-LEEM","'ha' light, 'LEEM' rhymes with 'dream'"
"Al-Azim (العظيم)","33","The Magnificent; The Great; The One deserving all glorification","📿 SHARĪ'A - Allah's greatness is beyond comprehension. He is greater than anything we can imagine. His throne encompasses heavens and earth.

🚶 ṬARĪQA - Magnify Him in your heart. Say 'Allahu Akbar' knowing its meaning. Recite ""Yā 'Aẓīm"" to perceive His magnificence.

💎 ḤAQĪQA - His greatness makes everything else small. In the light of Al-Azim, problems shrink and mountains become particles.

🌟 MA'RIFA - The saint drowns in the ocean of His magnificence, finding that becoming nothing before Al-Azim is becoming everything.","He is the Most High, the Magnificent (2:255); So exalt the name of your Lord, the Magnificent (56:74)","Al-Baqarah 2:255; Al-Waqi'ah 56:74","Basic: يا عظيم (Yā 'Aẓīm) In awe: سبحان ربي العظيم Number: 120 times","al-'a-DHEEM","guttural 'a', 'DHEEM' with soft 'dh'"
